year,engine_name,cylinders,bore_mm,stroke_mm,displacement_cm3,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg,source_file
1930,Renault 12Ja 450-500 CV 522 @ 2100,12,125,170,25034.5665,5.6,300,1.7647,45,10,45,10,220,246,116.5,-3.5,aircraft/renault_12j_1528_v12.mr
1931,Bristol Hydra R16 850 BHP @ 3000 RPM,16,127,127,25740.7399,6,254,2,60,12.7,55,12.7,260,260,110,-2,aircraft/bristol_hydra_1609_r16.mr
1931,Renault 4P (Воронеж МВ-4) 140 @ 2400,4,120,140,6333.4508,5.8,240,1.7143,57,10,51,10,258,258,115,0,aircraft/renault_4p_386_i4.mr
1931,Renault 6Q.01 (Воронеж МВ-6) 220 @ 2500,6,120,140,9500.1762,6.4,240,1.7143,57,10,51,10,258,258,115,0,aircraft/renault_6q_580_i6.mr
1931,Rolls-Royce R-Sprint,12,152.4,167.64,36695.9989,6,286.004,1.7061,52.4,16.2,51,16.2,244,247,107.75,0.75,aircraft/rr_r_2239_v12.mr
1932,Bristol Mercury IV S.2 540 @ 2600,9,146.05,165.1,24893.3065,5.3,309.88,1.8769,54.7687,13,52.3875,12.4,256,296,103.5,4.5,aircraft/bristol_mercury_1522_r9.mr
1932,Lorraine 12H Pétrel 500 @ 2250,12,145,145,28732.6137,6,245.1,1.6903,50,10.6,50,10.6,243,249,115,1.5,aircraft/ld_12h_1754_v12.mr
1932,Mitsubishi Kinsei (Ha-112) 850 @ 2250,14,140,150,32326.9884,6.6,285,1.9,67.8,13.7,64.3,13.7,264,290,113.5,1.5,aircraft/mitsubishi_kinsei_1977_r14.mr
1932,Pratt & Whitney R-1535 Twin Wasp Junior 825 @ 2625,14,131.762,131.762,25152.9225,6.4,254,1.9277,56.2102,11.1125,56.2102,11.1125,276,276,118,0,aircraft/pw_r1535_1539_r14.mr
1932,Pratt & Whitney R-1830 Twin Wasp 1200 @ 2700,14,139.7,139.7,29978.3093,6.4,273.05,1.9545,63.5,14.2875,63.5,14.2875,276,276,118,0,aircraft/pw_r1830_1833_r14.mr
1932,Pratt & Whitney R-2060 Yellow Jacket 1500 @ 3300,20,131.7625,123.825,33768.5075,6,260.35,2.1026,56.2102,11.9063,56.2102,11.9063,276,276,118,0,aircraft/pw_r2060_2065_r20.mr
