source_file,cylinders,bore_mm,stroke_mm,displacement_l,displacement_cyl_l,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg
50s/ford_239_v8.mr,8,88.9,78.74,3.91,0.4888,7.2,160.63,2.04,41.834,8.763,38.354,8.763,232,232,109.5,1.5
50s/ford_256_v8.mr,8,92.075,78.74,4.1943,0.5243,7.5,160.63,2.04,45.212,9.144,38.354,9.144,246,246,113,2
50s/ford_272_v8.mr,8,92.075,83.82,4.4649,0.5581,7.6,160.63,1.9164,45.212,9.144,38.354,8.1026,246,246,113,2
50s/ford_292_v8.mr,8,95.25,83.82,4.7781,0.5973,8.1,160.63,1.9164,45.212,9.144,38.354,8.1026,246,246,113,2
50s/ford_312_v8.mr,8,96.52,87.376,5.1145,0.6393,8.4,158.8,1.8174,45.212,9.8,38.354,9.754,246,246,113,2
50s/ford_332_v8.mr,8,101.6,83.82,5.4364,0.6796,9.5,166.116,1.9818,51.4858,10.1346,39.5224,10.1346,252,256,112,7
50s/ford_352_v8.mr,8,101.6,88.9,5.7659,0.7207,10.5,166.116,1.8686,51.4858,10.1346,39.5224,10.1346,252,256,112,7
50s/ford_361_v8.mr,8,102.87,88.9,5.911,0.7389,10.5,166.116,1.8686,51.4858,10.4394,39.5224,10.4394,252,256,112,7
50s/ford_383_v8.mr,8,109.22,83.82,6.2825,0.7853,10.5,167.64,2,52.832,11.2014,44.958,11.2014,276,276,111,-2
50s/ford_410_v8.mr,8,106.68,93.98,6.7202,0.84,10.5,167.64,1.7838,52.832,11.2014,44.958,11.2014,270,270,110.5,-2.5
50s/ford_430_v8.mr,8,109.22,93.98,7.044,0.8805,10.5,167.64,1.7838,54.356,11.2014,44.958,11.2014,270,270,110.5,-2.5
50s/gaz_13_337_v8.mr,8,100,88,5.5292,0.6912,8.5,168,1.9091,44,9.07,36,8.14,268,268,107,-3
50s/gaz_51_213_i6.mr,6,82,110,3.4855,0.5809,6.2,202,1.8364,41,9.2,37.5,9.2,240,240,109,-2
50s/hudson_308_i6.mr,6,96.8375,114.3,5.051,0.8418,7.5,206.375,1.8056,46.5074,8.7884,39.5224,8.7884,293.8,282.3,112.97,-0.22
50s/lancia_appia_67_v4.mr,4,68,75,1.0895,0.2724,7.8,160,2.1333,30,6,27.5,6,247,247,108.5,0
50s/lancia_aurelia_122_v6.mr,6,72,81.5,1.991,0.3318,7.8,160,1.9632,34,7.5,31,7.5,263,263,112,-3.5
50s/lincoln_279_v8.mr,8,90.4875,88.9,4.5736,0.5717,7.2,179.451,2.0186,50.8,8.9916,38.4969,8.9916,256,256,109,-1
50s/lincoln_318_v8.mr,8,96.52,88.9,5.2037,0.6505,8,179.451,2.0186,50.8,8.9916,38.354,8.9916,256,256,109,-1
50s/lincoln_368_v8.mr,8,101.6,92.964,6.0295,0.7537,9,179.451,1.9303,50.8,10.6172,41.6719,10.6172,268,268,110.5,-5.5
50s/m72_46_b2.mr,2,78,78,0.7454,0.3727,5.5,150,1.9231,38,6.3,38,6.3,348,348,110,12
50s/oldsmobile_394_v8.mr,8,104.775,93.6625,6.4604,0.8076,9.75,177.7492,1.8978,47.625,11.05,39.6875,11.1,250,264,110.5,1.5
50s/packard_289_v8.mr,8,90.4875,92.075,4.7369,0.5921,7.5,168.275,1.8276,42.0687,9.1281,38.8937,9.1281,245.4,245.4,110.18,-1.5
50s/packard_320_v8.mr,8,96.8375,88.9,5.238,0.6548,8.5,172.2437,1.9375,49.2,9.4996,42.85,9.4996,250,250,109,-2
50s/packard_327_i8.mr,8,88.9,107.95,5.3605,0.6701,7,195.2625,1.8088,42.4656,8.6868,36.5125,8.6868,238,237,109.25,5.25
50s/packard_352_v8.mr,8,101.6,88.9,5.7659,0.7207,9.5,172.2437,1.9375,50.8,10.1092,42.85,9.8552,256,252,111,-3
50s/packard_359_i8.mr,8,90.4875,114.3,5.8804,0.735,8.7,195.2625,1.7083,45.6406,8.6868,36.5125,8.6868,238,237,109.25,0.25
50s/packard_374_v8.mr,8,104.775,88.9,6.1319,0.7665,10,172.2437,1.9375,50.8,10.1092,42.85,9.8552,256,252,111,-3
50s/porsche_506_1_79_b4.mr,4,74.5,74,1.2903,0.3226,6.5,136,1.8378,38,8.5,34.5,8.2,220,220,107.5,0
50s/porsche_506_79_b4.mr,4,80,64,1.2868,0.3217,6.5,136,2.125,38,8.5,34.5,8.2,220,220,107.5,0
50s/porsche_546_91_b4.mr,4,80,74,1.4879,0.372,7,136,1.8378,38,8.5,34.5,8.2,220,220,107.5,0
50s/porsche_616_97_b4.mr,4,82.5,74,1.5823,0.3956,7,136,1.8378,38,9.27,34.5,8.97,265,260,108.25,3.75
50s/rr_phantom_iv_346_i8.mr,8,88.9,114.3,5.6758,0.7095,6.4,201.93,1.7667,46.8312,7.62,43.6563,7.747,227,222,109.75,-0.25
50s/studebaker_224_v8.mr,8,90.4875,71.4375,3.6752,0.4594,7,168.275,2.3556,42.0688,9.1281,38.8937,9.1281,245.5,245.5,110.25,-1.5
